"uuid","store_name","store_street","store_street2","store_city","store_state","store_zip","store_phone","Ycoord","Xcoord"
"103","MIDDLETOWN","3559 Boston Street","","Baltimore","MD","21224","","39.277063","-76.566927"
"104","PLYMOUTH","1701 Galleria Blvd","","Franklin","TN","37067","","35.965628","-86.812725"
"105","WATSONVILLE","400 Ryders Ln","","Milltown","NJ","8850","","40.441821","-74.425825"
"106","WESTBOROUGH","330 Turnpike Rd","","Westborough","MA","1581","","42.280354","-71.655347"
"107","BRYANT","1075 Kennedy Rd","","Windsor","CT","6095","","41.890739","-72.652754"
"108","ORLAND PARK","15850 S 94th Ave","","Orland Park","IL","60462","","41.602866","-87.850409"
"109","WATSONVILLE","1515 US Highway 22","","Watchung","NJ","7069","","40.639502","-74.421843"
"110","PIKESVILLE","1737 Reisterstown Rd","","Pikesville","MD","21208","","39.384045","-76.732481"
"111","TITUSVILLE","1911 Towne Centre Blvd","","Annapolis","MD","21401","","38.980346","-76.541176"
"112","TALLAHASSEE","1717 E West Rd","","Calumet City","IL","60409","","41.599388","-87.565294"
"113","EVERETT","50 Holyoke St","","Holyoke","MA","1040","","42.167072","-72.640056"
"114","STAMFORD","21 Broad St","","Stamford","CT","6901","","41.055582","-73.543125"
"115","MUHLENBERG TOWNSHIP","2195 Glendale Galleria","","Glendale","CA","91210","","34.145122","-118.258875"
"116","BOLINGBROOK","1188 W Boughton Rd","","Bolingbrook","IL","60440","","41.70472","-88.121785"
"117","GREEN BAY WEST","1001 Cormier Rd","","Green Bay","WI","54304","","44.490464","-88.070957"
"118","HOWELL TOWNSHIP","4955 US Highway 9","","Howell","NJ","7731","","40.130907","-74.22342"
"119","BRISTOL","1200 Baltimore Pike","","Springfield","PA","19064","","39.915228","-75.350082"
"120","LINCOLN SOUTH","1235 E Higgins Rd","","Schaumburg","IL","60173","","42.037703","-88.048621"
"121","EDGEWATER","543 River Rd","","Edgewater","NJ","7020","","40.814111","-73.98216"
"122","GILROY","5700 Bou Ave","","Rockville","MD","20852","","39.05607","-77.114897"
"123","N LAS VEGAS DEER SP","7841 Amana Trail","","Inver Grove Heights","MN","55077","","44.838475","-93.093034"
"124","CAPE GIRARDEAU","5500 Grossmont Ctr Dr Ste 1","","La Mesa","CA","91942","","32.778861","-117.010167"
"125","EDGEWATER","900 Hartford Tpke","","Waterford","CT","6385","","41.37756","-72.15011"
"126","VANCOUVER NW","500 East Sandford Blvd","","Mount Vernon","NY","10550","","40.901004","-73.8177"
"127","LOWER NAZARETH","455 Carnegie Blvd","","Malvern","PA","19355","","40.048674","-75.520625"
"128","CAPE GIRARDEAU","200 Malcolm Dr","","Westminster","MD","21157","","39.566942","-76.974097"
"129","SARATOGA SPRINGS","1685 17th Ave E","","Shakopee","MN","55379","","44.773807","-93.505224"
"130","NORTH HAVEN","4 Centerton Rd","","Mount Laurel","NJ","8054","","39.967915","-74.914594"
"131","MARLBOROUGH EAST","605 Boston Post Rd E","","Marlborough","MA","1752","","42.348738","-71.505193"
"132","WALDORF","3300 Western Pkwy","","Waldorf","MD","20603","","38.620651","-76.92245"
"133","SURPRISE","70 Princeton Hightstown Rd","","East Windsor","NJ","8520","","40.276815","-74.542004"
"134","JONESBORO","3000 E Highland Dr Ste A","","Jonesboro","AR","72401","","35.823051","-90.667013"
"135","MARLBOROUGH EAST","579 GAR HWY Suite 5","","Swansea","MA","2777","","41.748807","-71.207993"
"136","CERRITOS WEST","5711 Sepulveda Blvd","","Van Nuys","CA","91411","","34.174818","-118.466644"
"137","ROSEMEAD","11160 Veirs Mill Rd","","Silver Spring","MD","20902","","39.036784","-77.054972"
"138","CHICAGO MCKINLEY PARK","1940 W 33rd St","","Chicago","IL","60608","","41.835854","-87.67373"
"139","WATERBURY","300 Chase Ave","","Waterbury","CT","6704","","41.582781","-73.033731"
"140","RICHLAND","950 E 33rd St","","Signal Hill","CA","90755","","33.816916","-118.182117"
"141","HAVERHILL","11133 Balboa Blvd","","Granada Hills","CA","91344","","34.272915","-118.503629"
"142","WINCHESTER NORTH","517 E 117th Street Suite 201","","New York","NY","10035","","40.795715","-73.93146"
"143","PANAMA CITY","12801 W Sunrise Blvd","","Sunrise","FL","33323","","26.149535","-80.324188"
"144","CORONA","325 N Alafaya Trl","","Orlando","FL","32828","","28.551783","-81.201845"
"145","TAMPA CENTRAL WALTERS CROSSING","1750 Robert St S","","West St Paul","MN","55118","","44.893133","-93.078054"
